ID,TITLE,PRICE,IMAGE
1,ASUS Laptop Vivobook 15 E1504GA 15.6  Full HD Laptop (Intel i3 8-Core Processor- 8GB RAM- 512GB PCIe SSD- Windows 11),329,https://m.media-amazon.com/images/G/08/My_Projects/Bestseller_Sparkle._FMpng_SY80_.png
2,SGIN Laptop 17.3 Inch 8GB DDR4 512GB SSD (TF 512GB)- Celeron Dual-Core Processor- 2xUSB 3.0- Dual Band WiFi- Bluetooth 4.2- FHD 1920x1080 Notebook Ships with Keyboard Film in 8 Languages,299,https://m.media-amazon.com/images/I/61kE20DUhrL._AC_UY218_.jpg
3,Acer Chromebook 314 CB314-2H Laptop - MTK MT8183- 4GB- 64GB eMMC- Integrated Graphics- 14-inch HD- Google Chrome OS- Silver,149,https://m.media-amazon.com/images/I/71gQ+nd4UFL._AC_UY218_.jpg
4,HP Laptop PC 15s-fq5026sa | Intel Core i3-1215U Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics | 15.6 inch Full HD 16:9 display | Windows 11 Home | Natural Silver,309,https://m.media-amazon.com/images/I/81FZ01hhXrL._AC_UY218_.jpg
5,Acer Aspire 5 A515-57 Laptop - Intel Core i7-12650H- 16GB- 1TB SSD- Integrated Graphics- 15.6-inch FHD IPS- Windows 11- Iron,699,https://m.media-amazon.com/images/I/81KDeMk361L._AC_UY218_.jpg
6,Apple 2023 MacBook Pro laptop M3 chip with 8‑core CPU- 10‑core GPU: 14.2-inch Liquid Retina XDR display- 8GB unified memory- 512GB SSD storage. Works with iPhone/iPad; Space Grey,329,https://m.media-amazon.com/images/I/81RO3K44uKL._AC_UY218_.jpg
7,HP Stream Laptop PC 11-ak0028sa - Intel Celeron N4120 Processor - 4 GB RAM - 64 GB eMMC - 11 inch HD 16:9 Display - Windows 11 Home - Diamond White - Microsoft 365 Personal 12 Months Included,379,https://m.media-amazon.com/images/I/6185CDTJuoL._AC_UL320_.jpg
8,SGIN Laptop 17.3 Inch 8GB RAM 512GB SSD- Laptop Celeron Dual-Core Processor Up to 2.8GHz- 1080P FHD PC Notebook with Dual Band WiFi- 2xUSB 3.0- Keyboard Film in Eight Languages,299,https://m.media-amazon.com/images/I/61kE20DUhrL._AC_UL320_.jpg
9,ACEMAGIC Laptop-15.6 Inch FHD With Metal Case-Intel Quad-Core 12th Alder Lake N95 Processor(up to 3.4 GHz) beat N4020/N5095-16 GB RAM 512 GB SSD Laptop-BT5.0-2.4G/5G WiFi-USB 3.2-HDMI and Type C,389,https://m.media-amazon.com/images/I/71i2-eOoR4L._AC_UL320_.jpg
10,ASUS Laptop Vivobook 15 X1504ZA 15.6 inch Full HD Laptop (Intel i5-1235U- 16GB RAM- 512GB SSD- Windows 11),1539,https://m.media-amazon.com/images/I/71JY8JL3Z9L._AC_UL320_.jpg
11,ASUS Laptop Vivobook 16 M1605YA 16.0  WUXGA Laptop (AMD Ryzen R5-5625U 6-Core Processor- 8GB RAM- 256GB PCIe SSD- Windows 11 Home),164,https://m.media-amazon.com/images/I/718VpttTgWL._AC_UL320_.jpg
12,Lenovo IdeaPad 5 Chromebook | 14 Inch Full HD Laptop | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Chrome OS | Storm Grey,299,https://m.media-amazon.com/images/I/61yB6T5WWjL._AC_UL640_QL65_.jpg
13,OCELOTX 14 inch laptop windows 10 6GB Memory- 2.4 ghz 128 gb ROM HD display screen.,379,https://m.media-amazon.com/images/I/61yB6T5WWjL._AC_UL640_QL65_.jpg
14,QKGOOD Tablet 10 inch Android 13 Tablet PC 19GB RAM+128GB ROM-tablet 5G WiFi-BT5.0-8000mAh-tablet with mouse and keyboard-black,458,https://m.media-amazon.com/images/I/71QUV8SPLNL._AC_UY218_.jpg
15,Lenovo IdeaPad Slim 3 | 15 inch Full HD Laptop | Intel Core i7-13620H | 16GB RAM | 512GB SSD | Windows 11 Home | Abyss Blue,289,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
16,Acer Aspire 1 A115-32 15.6-inch Laptop - (Intel Celeron N4500- 4 GB RAM- 64 GB eMMC- 1920 x 1080 Display- Windows 11- Silver),144,https://m.media-amazon.com/images/I/71JY8JL3Z9L._AC_UY218_.jpg
17,Dell Inspiron 15 3520 Laptop | FHD (1920 x 1080) 120Hz Display | Intel Core i3-1215U | Intel UHD Graphics | 8 2666MHz RAM | 256 | English-UK Keyboard | Carbon black,86,https://m.media-amazon.com/images/I/71i2-eOoR4L._AC_UY218_.jpg
18,SGIN 15.6 Inch Laptop 12GB RAM 512GB SSD- 1080P FHD Celeron N5095 Up to 2.8GHz- 180° Open Angle- PC Notebook with Dual Band WiFi- 2xUSB 3.0- Keyboard Film in Eight Languages,549,https://m.media-amazon.com/images/I/51CcWXwi83L._AC_UY218_.jpg
19,ACEMAGIC Newest 15.6  Laptop for Students and Business-Intel Quad-Core 𝗡95 Processor Up to 3.4GHz（Beat N5095）laptop computer-16GB DDR4 512GB SSD Notebook Computers with Metal Body Support WiFi- BT5.0,239,https://m.media-amazon.com/images/I/615Fr2CRQTL._AC_UY218_.jpg
